amount,closing_reason,created_at,lead_id,status_id,utm_campaign,utm_medium,utm_source,visit_date,visitor_id
237990,Успешная продажа,2023-06-15 12:52:40.000,26066151,142,prof-frontend,cpc,yandex,2023-06-01 10:40:28.000,35060e525ca62de0a0aa93992c7e07799d855f79
201150,Успешная продажа,2023-06-30 14:36:31.000,74450379,142,base-frontend,cpc,yandex,2023-06-01 14:39:00.000,d183fbda6f03b965a1cd1cee0a3f7b81a44b78ec
189210,Успешная продажа,2023-06-20 20:49:16.000,48838540,142,freemium-frontend,cpc,vk,2023-06-01 04:58:00.000,ca003c89182365dd75262e54772fda03ee923e92
188991,Успешная продажа,2023-06-19 15:28:22.000,21579820,142,freemium,cpc,yandex,2023-06-01 10:44:00.000,d31c95902f2d3183e7052c235ad72d82838e98c2
180306,Успешная продажа,2023-06-14 06:13:44.000,23169912,142,prof-frontend,cpc,yandex,2023-06-01 14:57:00.000,fd1438246c3b520c8dfa1aed4c73133c8ca10ab4
178800,Успешная продажа,2023-06-15 11:43:46.000,50769366,142,prof-java,cpc,vk,2023-06-01 03:41:00.000,b6ddcd9f994bad353f37b0c5f7115b66d07b10c2
167625,Успешная продажа,2023-06-11 21:57:08.000,25327894,142,prof-frontend,cpc,yandex,2023-06-01 19:39:00.000,f2db2eb1295e51cf3426e4211172d839e7f93ddc
160920,Успешная продажа,2023-06-26 08:36:49.000,73882489,142,base-python,cpc,yandex,2023-06-01 11:34:00.000,bd5ad484a0cf7f80c1522009dd4ee3d825f35a46
151192,Успешная продажа,2023-06-26 17:47:47.000,20614407,142,base-java,cpp,telegram,2023-06-20 15:15:04.701,f1dc9c36bd7269ed93e736b29de33e0e7a02e1a3
150255,Успешная продажа,2023-06-03 14:40:56.000,24703215,142,dod-php,cpc,yandex,2023-06-01 16:43:00.000,36d4c2cfec3dba3a50cfd0d31ace2d4dcb70560c
